file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
C:\Users\All Five Projects\spring-batch-main\spring-batch-core\src\test\java\org\springframework\batch\core\configuration\support\ReferenceJobFactoryTests.java,org.springframework.batch.core.configuration.support.ReferenceJobFactoryTests,class,3,3,0,3,1,1,0,2,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,2,0,1,0,1,0,0,0,0,13,0,0
C:\Users\All Five Projects\spring-batch-main\spring-batch-infrastructure\src\test\java\org\springframework\batch\poller\DirectPollerTests.java,org.springframework.batch.poller.DirectPollerTests,class,4,5,1,4,8,1,0,14,0,0.0,1.0,1.0,4,0,0,1,0,3,3,0,0,0,1,0,0,1,0,0,1,0,1,57,5,0,0,1,0,6,9,13,0,13,2,0,0,5,43,0,0
C:\Users\All Five Projects\spring-batch-main\spring-batch-core\src\main\java\org\springframework\batch\core\listener\StepListenerFailedException.java,org.springframework.batch.core.listener.StepListenerFailedException,class,0,1,1,0,1,4,0,0,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,1,0
C:\Users\All Five Projects\spring-batch-main\spring-batch-core\src\test\java\org\springframework\batch\core\listener\ItemListenerErrorTests.java,org.springframework.batch.core.listener.ItemListenerErrorTests$FailingItemWriter,innerclass,2,2,0,2,3,1,0,0,0,0.0,1.0,1.0,2,0,2,0,0,0,2,0,0,0,1,0,0,1,0,0,0,0,0,11,0,0,0,0,0,1,0,2,0,1,1,0,0,0,15,9,0
C:\Users\All Five Projects\spring-batch-main\spring-batch-infrastructure\src\test\java\org\springframework\batch\item\support\builder\ClassifierCompositeItemWriterBuilderTests.java,org.springframework.batch.item.support.builder.ClassifierCompositeItemWriterBuilderTests,class,6,6,0,6,2,1,0,11,1,0.5,0.0,0.0,2,0,0,0,0,2,2,0,0,0,2,0,0,2,0,0,2,0,0,19,0,0,0,0,0,13,0,7,0,9,0,0,0,3,31,0,0
C:\Users\All Five Projects\spring-batch-main\spring-batch-infrastructure\src\test\java\org\springframework\batch\item\file\SimpleBinaryBufferedReaderFactoryTests.java,org.springframework.batch.item.file.SimpleBinaryBufferedReaderFactoryTests,class,5,5,0,5,7,1,0,8,21,0.0,0.0,0.0,7,0,0,0,0,7,7,0,0,0,0,0,0,0,0,0,0,0,0,58,0,0,0,0,2,41,1,14,1,14,0,0,0,0,33,0,0
C:\Users\All Five Projects\spring-batch-main\spring-batch-infrastructure\src\main\java\org\springframework\batch\item\validator\ValidationException.java,org.springframework.batch.item.validator.ValidationException,class,1,4,3,1,2,5,0,0,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,1,0
C:\Users\All Five Projects\spring-batch-main\spring-batch-infrastructure\src\main\java\org\springframework\batch\item\WriterNotOpenException.java,org.springframework.batch.item.WriterNotOpenException,class,1,3,2,1,2,5,0,0,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,1,0
C:\Users\All Five Projects\spring-batch-main\spring-batch-infrastructure\src\test\java\org\springframework\batch\common\AbstractExceptionTests.java,org.springframework.batch.common.AbstractExceptionTests,class,2,3,1,2,4,1,0,5,6,0.0,0.0,0.0,4,0,0,0,2,2,4,2,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,4,2,2,0,2,0,0,0,0,14,1025,0
C:\Users\All Five Projects\spring-batch-main\spring-batch-infrastructure\src\test\java\org\springframework\batch\item\database\JdbcBatchItemWriterClassicTests.java,org.springframework.batch.item.database.JdbcBatchItemWriterClassicTests$Anonymous1,anonymous,3,3,0,3,2,1,0,2,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,11,1,0,0,1,0,1,0,0,0,0,1,0,0,0,13,-1,0
C:\Users\All Five Projects\spring-batch-main\spring-batch-core\src\test\java\org\springframework\batch\core\resource\FooRowMapper.java,org.springframework.batch.core.resource.FooRowMapper,class,2,3,1,2,1,1,0,5,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,9,1,0,0,0,0,0,3,1,0,1,0,0,0,0,13,1,0
C:\Users\All Five Projects\spring-batch-main\spring-batch-core\src\test\java\org\springframework\batch\core\step\NonAbstractStepTests.java,org.springframework.batch.core.step.NonAbstractStepTests$JobRepositoryStub,innerclass,3,3,0,3,4,2,0,4,1,0.5,0.0,0.0,2,0,2,0,0,0,2,0,0,0,2,1,0,0,0,2,0,0,0,14,0,0,2,0,0,1,1,3,0,2,1,0,0,0,22,10,0
C:\Users\All Five Projects\spring-batch-main\spring-batch-infrastructure\src\test\java\org\springframework\batch\item\database\support\OraclePagingQueryProviderTests.java,org.springframework.batch.item.database.support.OraclePagingQueryProviderTests,class,3,3,0,3,7,2,0,5,21,0.0,0.0,0.0,7,0,0,0,0,7,7,0,0,0,0,0,0,0,0,0,0,0,0,37,2,0,0,0,0,10,0,11,0,10,0,0,0,0,58,0,0
